start,end,speaker,text
0.0,14.52,SPEAKER_01," Hi, it's Julie Gould and this is Working Scientist, a Nature Careers podcast."
14.52,26.16,SPEAKER_01, Welcome to this series on the podcast All About Leadership.
26.16,30.04,SPEAKER_01, Each episode in this series explored leadership from a different perspective.
30.04,38.32,SPEAKER_01," We're here from academic leaders, research institute leaders, industry leaders, young leaders, as well as someone who studies leadership and what it really means."
38.32,54.36,SPEAKER_01," I try to find out what these people think leadership is, how they got to these positions that they're in, where they learnt their skills and what they think of the scientific leadership we have today."
54.36,57.16,SPEAKER_01, Fiona Watt is a British stem cell biologist.
57.16,71.08,SPEAKER_01," Her work has focused on cell regeneration and throughout her career, Fiona has held in many positions of leadership, including being appointed as the first female executive chair of the Medical Research Council in the UK in 2018."
71.08,84.92,SPEAKER_01," Now for the benefit of our non-UK listeners, the Medical Research Council or MRC as it is locally known, is the national funding body here that funds scientific research at the forefront of medical science."
84.92,92.92,SPEAKER_01," Now in early 2022, Fiona became the director of EMBO, the European Molecular Biology Organization."
92.92,100.96,SPEAKER_01," And here, for the benefit of our non-European listeners, EMBO is a not-for-profit organization based in Heidelberg, Germany."
100.96,104.64,SPEAKER_01, And it is devoted to excellence in the life sciences.
104.64,117.96,SPEAKER_01," Funded by memberships from around 30 countries, it supports research, it publishes journals, it awards postdoctoral fellowships to encourage mobility and it offers training events, courses and workshops to support its researchers."
117.96,126.64,SPEAKER_01," In this conversation, Fiona and I talk about some of her different leadership roles, and she shares with us a little bit about what it's like being the director of EMBO."
126.64,136.76,SPEAKER_01," We also talk about where and how she learnt her leadership skills, what she thinks bad leadership looks like, and some of the trust issues that may crop up between the science leaders."
137.12,146.67999999999998,SPEAKER_01," Clearly from her history and background, we know that Fiona is an established leader, but I wanted to know how did she learn her leadership skills?"
146.67999999999998,154.51999999999998,SPEAKER_01," Say when you were an early career researcher, did you envisage yourself as the leader of an organization like EMBO?"
154.51999999999998,156.51999999999998,SPEAKER_01," And if not, how did that happen?"
156.51999999999998,159.07999999999998,SPEAKER_01, How did you get to where you are today?
